transaction_id,customer_id,transaction_date,product_category,size_tier,quantity,price_per_unit,discount_percent,sales_channel,total_amount,return_date,return_reason,refund_amount,is_returned,net_revenue,acquisition_channel,city,country,recency,frequency,net_monetary,customer_segment,cac,cpa
TX000001,CUST00001,2026-02-17 00:00:00,Accessories,S,1,13.09,0.0,Online,13.09,,,0.0,0,13.09,Google Ads,Houston,United States,26.0,2,172.95000000000002,,700.68,23.52
TX000002,CUST00001,2026-06-05 00:00:00,Apparel,M,2,79.93,0.0,Online,159.86,,,0.0,0,159.86,Google Ads,Houston,United States,26.0,2,172.95000000000002,,700.68,23.52
TX000003,CUST00002,2025-12-12 00:00:00,Home & Living,M,1,114.48,0.0,Online,114.48,,,0.0,0,114.48,Organic,Austin,United States,10.0,3,440.93,,0.0,0.0
TX000004,CUST00002,2026-05-08 00:00:00,Footwear,M,1,132.13,0.0,In-Store,132.13,,,0.0,0,132.13,Organic,Austin,United States,10.0,3,440.93,,0.0,0.0
TX000005,CUST00002,2026-06-21 00:00:00,Footwear,XL,1,194.32,0.0,Online,194.32,,,0.0,0,194.32,Organic,Austin,United States,10.0,3,440.93,,0.0,0.0
TX000006,CUST00003,2024-04-03 00:00:00,Accessories,M,1,19.6,11.85,Online,17.28,,,0.0,0,17.28,Google Ads,Houston,United States,136.0,6,568.6700000000001,,700.68,23.52
TX000007,CUST00003,2025-04-21 00:00:00,Apparel,M,1,105.37,12.18,Online,92.54,,,0.0,0,92.54,Google Ads,Houston,United States,136.0,6,568.6700000000001,,700.68,23.52
TX000008,CUST00003,2025-07-20 00:00:00,Accessories,M,1,22.47,0.0,In-Store,22.47,,,0.0,0,22.47,Google Ads,Houston,United States,136.0,6,568.6700000000001,,700.68,23.52
TX000009,CUST00003,2025-09-03 00:00:00,Footwear,L,1,185.85,14.54,Online,158.83,,,0.0,0,158.83,Google Ads,Houston,United States,136.0,6,568.6700000000001,,700.68,23.52
TX000010,CUST00003,2025-11-04 00:00:00,Accessories,XS,1,12.75,0.0,In-Store,12.75,,,0.0,0,12.75,Google Ads,Houston,United States,136.0,6,568.6700000000001,,700.68,23.52
TX000011,CUST00003,2026-02-15 00:00:00,Home & Living,M,1,264.8,0.0,Online,264.8,,,0.0,0,264.8,Google Ads,Houston,United States,136.0,6,568.6700000000001,,700.68,23.52
TX000012,CUST00004,2024-05-21 00:00:00,Apparel,S,1,103.75,0.0,In-Store,103.75,,,0.0,0,103.75,Email,Austin,United States,133.0,4,291.94,,187.08,4.71
TX000013,CUST00004,2025-06-23 00:00:00,Accessories,L,1,60.26,0.0,In-Store,60.26,,,0.0,0,60.26,Email,Austin,United States,133.0,4,291.94,,187.08,4.71
TX000014,CUST00004,2025-09-03 00:00:00,Accessories,M,3,24.17,7.14,Online,67.33,,,0.0,0,67.33,Email,Austin,United States,133.0,4,291.94,,187.08,4.71
TX000015,CUST00004,2026-02-18 00:00:00,Apparel,M,1,60.6,0.0,Online,60.6,,,0.0,0,60.6,Email,Austin,United States,133.0,4,291.94,,187.08,4.71
TX000016,CUST00005,2025-09-05 00:00:00,Footwear,L,1,193.77,33.43,Online,128.99,,,0.0,0,128.99,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000017,CUST00005,2025-09-12 00:00:00,Footwear,S,1,194.11,0.0,In-Store,194.11,,,0.0,0,194.11,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000018,CUST00005,2025-09-22 00:00:00,Accessories,L,1,65.86,9.39,Online,59.68,,,0.0,0,59.68,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000019,CUST00005,2025-12-26 00:00:00,Apparel,L,1,32.61,0.0,Online,32.61,,,0.0,0,32.61,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000020,CUST00005,2026-01-02 00:00:00,Home & Living,M,2,267.34,0.0,In-Store,534.68,,,0.0,0,534.68,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000021,CUST00005,2026-01-30 00:00:00,Home & Living,M,1,228.25,0.0,Online,228.25,,,0.0,0,228.25,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000022,CUST00005,2026-03-02 00:00:00,Accessories,S,1,61.42,9.01,In-Store,55.89,,,0.0,0,55.89,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000023,CUST00005,2026-06-04 00:00:00,Accessories,S,1,56.38,0.0,In-Store,56.38,,,0.0,0,56.38,Google Ads,New York,United States,27.0,8,1290.59,,700.68,23.52
TX000024,CUST00006,2026-06-21 00:00:00,Accessories,S,1,54.69,0.0,In-Store,54.69,,,0.0,0,54.69,Meta Ads,Miami,United States,10.0,1,54.69,,679.22,23.26
TX000025,CUST00007,2024-04-28 00:00:00,Footwear,L,2,124.12,12.11,In-Store,218.18,,,0.0,0,218.18,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000026,CUST00007,2024-06-03 00:00:00,Footwear,L,1,114.7,12.54,In-Store,100.32,,,0.0,0,100.32,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000027,CUST00007,2024-07-14 00:00:00,Accessories,M,1,19.49,0.0,Online,19.49,,,0.0,0,19.49,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000028,CUST00007,2024-08-12 00:00:00,Home & Living,XL,1,206.52,12.03,In-Store,181.68,,,0.0,0,181.68,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000029,CUST00007,2024-09-13 00:00:00,Accessories,XS,2,56.05,0.0,Online,112.1,2024-09-19 00:00:00,Defective,112.1,1,0.0,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000030,CUST00007,2024-10-03 00:00:00,Footwear,M,3,199.51,0.0,In-Store,598.53,,,0.0,0,598.53,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000031,CUST00007,2024-10-05 00:00:00,Apparel,M,1,72.93,0.0,In-Store,72.93,,,0.0,0,72.93,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000032,CUST00007,2024-11-03 00:00:00,Apparel,L,1,49.73,0.0,In-Store,49.73,,,0.0,0,49.73,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000033,CUST00007,2025-01-05 00:00:00,Home & Living,XL,2,149.73,0.0,Online,299.46,,,0.0,0,299.46,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000034,CUST00007,2025-01-07 00:00:00,Home & Living,M,2,280.45,0.0,In-Store,560.9,,,0.0,0,560.9,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000035,CUST00007,2025-04-25 00:00:00,Home & Living,M,1,150.48,0.0,In-Store,150.48,,,0.0,0,150.48,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000036,CUST00007,2025-05-29 00:00:00,Footwear,L,1,72.29,6.26,Online,67.76,,,0.0,0,67.76,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000037,CUST00007,2025-06-27 00:00:00,Footwear,M,1,103.48,0.0,Online,103.48,,,0.0,0,103.48,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000038,CUST00007,2025-07-03 00:00:00,Accessories,S,1,16.08,0.0,Online,16.08,,,0.0,0,16.08,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000039,CUST00007,2025-07-31 00:00:00,Home & Living,XS,1,210.73,0.0,In-Store,210.73,,,0.0,0,210.73,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000040,CUST00007,2025-10-04 00:00:00,Accessories,L,1,14.99,0.0,In-Store,14.99,2025-10-15 00:00:00,Wrong Size,14.99,1,0.0,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000041,CUST00007,2025-11-15 00:00:00,Footwear,M,1,189.37,16.32,Online,158.46,,,0.0,0,158.46,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000042,CUST00007,2025-12-19 00:00:00,Footwear,XL,1,193.28,0.0,Online,193.28,,,0.0,0,193.28,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000043,CUST00007,2026-01-06 00:00:00,Footwear,M,1,159.73,0.0,In-Store,159.73,,,0.0,0,159.73,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000044,CUST00007,2026-04-02 00:00:00,Apparel,M,2,51.88,0.0,In-Store,103.76,,,0.0,0,103.76,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000045,CUST00007,2026-04-19 00:00:00,Apparel,XS,1,41.91,0.0,In-Store,41.91,,,0.0,0,41.91,Google Ads,Los Angeles,United States,73.0,21,3306.89,,700.68,23.52
TX000046,CUST00008,2025-11-27 00:00:00,Apparel,XL,1,101.1,0.0,In-Store,101.1,,,0.0,0,101.1,Google Ads,New York,United States,216.0,1,101.1,,700.68,23.52
TX000047,CUST00009,2024-11-27 00:00:00,Footwear,M,1,108.21,26.01,Online,80.06,,,0.0,0,80.06,Referral,Seattle,United States,261.0,3,114.58,,0.0,0.0
TX000048,CUST00009,2025-05-18 00:00:00,Accessories,S,1,37.69,8.42,Online,34.52,,,0.0,0,34.52,Referral,Seattle,United States,261.0,3,114.58,,0.0,0.0
TX000049,CUST00009,2025-10-13 00:00:00,Accessories,M,3,44.27,0.0,Online,132.81,2025-10-26 00:00:00,Changed Mind,132.81,1,0.0,Referral,Seattle,United States,261.0,3,114.58,,0.0,0.0
TX000050,CUST00010,2026-02-09 00:00:00,Apparel,M,1,112.14,0.0,Online,112.14,,,0.0,0,112.14,Email,San Francisco,United States,2.0,4,417.96,,187.08,4.71
TX000051,CUST00010,2026-03-05 00:00:00,Home & Living,L,1,190.18,0.0,Online,190.18,,,0.0,0,190.18,Email,San Francisco,United States,2.0,4,417.96,,187.08,4.71
TX000052,CUST00010,2026-05-11 00:00:00,Accessories,S,2,12.94,0.0,In-Store,25.88,,,0.0,0,25.88,Email,San Francisco,United States,2.0,4,417.96,,187.08,4.71
TX000053,CUST00010,2026-06-29 00:00:00,Footwear,S,1,89.76,0.0,In-Store,89.76,,,0.0,0,89.76,Email,San Francisco,United States,2.0,4,417.96,,187.08,4.71
TX000054,CUST00011,2024-02-21 00:00:00,Apparel,M,1,87.3,0.0,Online,87.3,,,0.0,0,87.3,Email,Miami,United States,177.0,7,884.54,,187.08,4.71
